"id,location,num_lanes,is_oneway"
"4226,HEATH ST W AT YONGE ST (PX 1291)"
"4227,EGLINTON AVE AT YONGE ST (PX 49)"
"4229,POYNTZ AVE AT YONGE ST (PX 945)"
"4230,SHEPPARD AVE AT YONGE ST (PX 125)"
"4231,ELMHURST AVE AT GREENFIELD AVE & YONGE ST (PX 1100)"
"4232,ELMWOOD AVE AT NORTH YORK BLVD & YONGE ST (PX 1099)"
"4233,BISHOP AVE AT HENDON AVE & YONGE ST (PX 1151)"
"4234,# 5765 YONGE ST AT YONGE ST"
"4235,# 5785 YONGE ST AT YONGE ST"
"4236,STEELES AVE AT YONGE ST (PX 131)"
"4237,DIXON RD AT RAMP HIGHWAY 401 E/B (PX 794)"
"4238,DIXON RD AT HIGHWAY 427 N/B OFF RAMP (PX 1250)"
"4239,ATTWELL DR AT DIXON RD & SKYWAY AVE (PX 953)"
"4240,LAKE SHORE BLVD AT LOWER JARVIS ST (PX 210)"
"4243,CHARLES ST AT JARVIS ST & MOUNT PLEASANT RD (PX 13)"
"4244,MOUNT PLEASANT RD AT ROXBOROUGH ST"
"4245,MOUNT PLEASANT RD AT SOUDAN AVE (PX 1009)"
"4246,BLYTHWOOD RD AT MOUNT PLEASANT RD (PX 140)"
"4249,ISABELLA ST AT SHERBOURNE ST (PX 1391)"
"4251,ELLESMERE RD AT MONDEO DR & STATTON PUBLIC SCHOOL (PX 1607)"
"4252,DUNDALK DR AT ELLESMERE RD & WYE VALLEY RD (PX 2066)"
"4253,ELLESMERE RD AT MIDLAND AVE (PX 697)"
"4254,BELLAMY RD N AT ELLESMERE RD (PX 700)"
"4255,ELLESMERE RD AT MORRISH RD (PX 1614)"
"4256,ONTARIO ST AT WELLESLEY ST (PX 1575)"
"4259,CARLTON ST AT PARLIAMENT ST (PX 250)"
"4260,PARLIAMENT ST AT WINCHESTER ST (PX 922)"
"4261,PROGRESS AVE AT RAMP HIGHWAY 401 E/B & SCAR TOWN CENTRE (PX 1526)"
"4262,CORPORATE DR AT PROGRESS AVE & SCARBOROUGH TOWN CENTRE (PX 1385)"
"4264,LANSCO RD AT WILLIAM KITCHEN RD"
"4265,MONTANA AVE AT WILSON AVE"
"4267,CHAMPLAIN BLVD AT WILSON AVE"
"4268,BEVERLY HILLS DR AT WILSON AVE (PX 2238)"
"4269,JETHRO RD AT WILSON AVE (PX 1371)"
"4270,OLD YONGE ST AT YORK MILLS RD"
"4271,HARRISON RD AT YORK MILLS RD (PX 1297)"
