location_id,location,lng,lat,centreline_type,centreline_id,px,latest_count_id,latest_count_date
4121,EGLINTON AVE AT W R ALLEN RD E TCS (PX 1307),-79.435,43.69899,2,13458384,1307,29473,########
4122,SHEPPARD AVE AT W R ALLEN RD (PX 1407),-79.4634,43.75025,2,13450458,1407,40469,########
4123,DUFFERIN ST AT OVERBROOK PL & STEEPROCK DR (PX 1234),-79.4652,43.76104,2,13448866,1234,37897,########
4124,KING ST AT STRACHAN AVE (PX 538),-79.412,43.64204,2,13467971,538,38541,########
4125,QUEEN ST AT STRACHAN AVE (PX 1332),-79.4132,43.64537,2,13467560,1332,37515,########
4126,EGLINTON AVE AT PHARMACY AVE (PX 452),-79.2975,43.72565,2,13453978,452,28539,########
4127,EGLINTON AVE AT FALMOUTH AVE & GILDER DR (PX 217),-79.2532,43.73558,2,13452308,217,38001,########
4128,BELLAMY RD N AT EGLINTON AVE E / GO STATION (PX 191),-79.2321,43.74026,2,13451513,191,40865,########
4129,ST DENNIS DR AT WYNFORD DR & EGLINTON E/B ON RAMP S TCS (PX 1462),-79.3247,43.7237,2,13454290,1462,34293,########
4130,ST DENNIS DR AT WYNFORD DR & ON RAMP TO EGLINTON E/B (PX 1464),-79.3237,43.72483,2,13454143,1464,13799,########
4131,EGLINTON AVE AT REDPATH AVE (PX 93),-79.3928,43.70786,2,13456902,93,24407,########
4132,EGLINTON AVE AT FORMAN AVE (PX 220),-79.3862,43.70919,2,13456681,220,27365,########
4134,EGLINTON AVE W AT RENFORTH DR (PX 926),-79.5877,43.6661,2,13464598,926,35243,########
4135,BATHURST ST AT DAVENPORT RD (PX 384),-79.4158,43.67673,2,13462422,384,37169,########
4136,BATHURST ST AT RICHMOND ST (PX 298),-79.4038,43.64647,2,13467372,298,32727,########
4137,BATHURST ST AT QUEENS QUAY (PX 1593),-79.3984,43.63567,2,13468663,1593,30843,########
4138,BATHURST ST AT LAKE SHORE BLVD (PX 216),-79.3996,43.63648,2,13468584,216,38523,########
4139,BATHURST ST AT KING ST (PX 201),-79.4027,43.64393,2,13467722,201,34435,########
4140,ADELAIDE ST AT BATHURST ST (PX 1883),-79.4032,43.64519,2,13467569,1883,38677,4/9/2019
4141,BATHURST ST AT CARR ST & ROBINSON ST (PX 1808),-79.4046,43.64883,2,13466991,1808,31971,4/2/2015
4142,BATHURST ST AT DUPONT ST (PX 305),-79.4144,43.67315,2,13463030,305,32147,########
4143,BATHURST ST AT ST CLAIR AVE (PX 480),-79.4183,43.68317,2,13461271,480,36947,########
4144,AVA RD AT BATHURST ST (PX 505),-79.4243,43.69795,2,13458543,505,31941,4/1/2015
4145,BATHURST ST AT EGLINTON AVE (PX 100),-79.4256,43.70099,2,13458084,100,32123,########
4146,BATHURST ST AT CARIBOU RD & DELLPARK AVE (PX 2133),-79.4294,43.71763,2,13455397,2133,39097,########
4147,BATHURST ST AT LAWRENCE AVE (PX 423),-79.4298,43.71926,2,13455135,423,40823,########
4148,# 4600 BATHURST ST AT YMHA 335M S OF ELLERSLIE (PX 673),-79.4402,43.76244,1,30007983,673,31969,4/1/2015
4149,BATHURST ST AT COCKSFIELD AVE,-79.4388,43.75679,2,13449410,,31839,########
4150,BATHURST ST AT FINCH AVE W (PX 675),-79.443,43.77386,2,13446970,675,39675,########
4151,EGLINTON AVE E AT MARKHAM RD (PX 463),-79.2189,43.74318,2,13450997,463,40873,########
4152,NINTH LINE AT STEELES AVE (PX 1979),-79.2259,43.84252,2,14228258,1979,37629,########
